1,病例,510
2,检验,494
3,疫情,467
4,新冠,365
5,确诊,359
6,10,339
7,一个,304
8,患者,284
9,肺炎,279
10,小区,273
11,东西湖区,253
12,结果,247
13,有效,247
14,就是,247
15,这个,247
16,曹彬,247
17,出现,237
18,检测,227
19,##,219
20,隔离,212
21,新增,211
22,我们,210
23,长青,195
24,某某,191
25,中国,190
26,辛普森,190
27,悖论,190
28,临床,190
29,人数,188
30,比较,171
31,录取率,171
32,如果,170
33,风险,166
34,美国,160
35,三民,155
36,暴风雪,155
37,无症状,154
38,因为,151
39,申请,146
40,没有,143
41,武汉,138
42,可以,135
43,视频,134
44,20,133
45,核酸,133
46,阳性,133
47,人民,133
48,得出,133
49,无效,133
50,问题,133
51,男生,133
52,女生,133
53,最后,133
54,对照组,133
55,女人,133
56,疾病,133
57,病毒,130
58,时间,129
59,纽约,127
60,数据,119
61,情况,119
62,来自,119
63,民众,119
64,感染者,115
65,不是,115
66,确认,114
67,结论,114
68,很多,114
69,男人,114
70,文史哲,114
71,报告,110
72,症状,109
73,白宫,108
74,不够,107
75,抗疫,104
76,袭击,100
77,长春,100
78,需要,98
79,人员,98
80,住址,95
81,日本,95
82,希望,95
83,因素,95
84,一定,95
85,加快,95
86,还有,95
87,理工科,95
88,治疗,95
89,两个,94
90,措施,93
91,社区,91
92,工作,91
93,新加坡,90
94,11,88
95,甚至,88
96,全球,83
97,威胁,81
98,安排,80
99,武汉市,79
100,市场,78
101,海外,77
102,日记,77
103,人群,76
104,一些,76
105,不定,76
106,NIH,76
107,当然,76
108,比如,76
109,三个,76
110,那么,76
111,解释,76
112,前面,76
113,原因,76
114,表格,76
115,调整,75
116,舒兰市,75
117,国家,71
118,正在,68
119,进行,67
120,发布,65
121,00,65
122,社交,64
123,距离,64
124,反常,62
125,罕见,62
126,双重,62
127,生活,62
128,陷入困境,62
129,吉林市,60
130,丰满区,60
131,一律,60
132,微博,59
133,同一,59
134,卫健委,59
135,同一个,58
136,加拿大,57
137,表示,57
138,当日,57
139,作为,57
140,网页,57
141,链接,57
142,各种,57
143,等等,57
144,避免,57
145,为什么,57
146,Remdesivir,57
147,有人,57
148,是因为,57
149,对甲,57
150,效果,57
151,足够,57
152,数字,57
153,统计,57
154,意义,57
155,大学,57
156,论断,57
157,可能,57
158,平均,57
159,或者,57
160,队员,57
161,虽然,57
162,差距,57
163,药效,57
164,有些,57
165,但是,57
166,这种,57
167,疗效,57
168,来说,57
169,不能,57
170,他们,57
171,只是,57
172,文章,57
173,几十个,57
174,每个,57
175,用药,57
176,分组,57
177,篇文章,57
178,贝克莱,57
179,聘用,57
180,个人,57
181,理工,57
182,文史,57
183,容易,57
184,定式,57
185,方面,56
186,小组,56
187,蔓延,55
188,等级,55
189,舒兰,55
190,消息,55
191,24,54
192,公布,54
193,按照,54
194,标准,54
195,永久,54
196,居民,54
197,传染,54
198,男子,54
199,经济,54
200,顾问,54
201,其中,53
202,口罩,53
203,18,52
204,开放,52
205,2020,51
206,纽约州,50
207,吉林省,50
208,封闭,49
209,叫停,49
210,超过,48
211,国际,47
212,防控,46
213,复学,45
214,部分,44
215,显示,43
216,本身,43
217,16,42
218,这些,42
219,那些,42
220,市政府,41
221,感染,41
222,返长,40
223,21,40
224,例新冠,40
225,工委,40
226,书记,40
227,中共,40
228,通报,39
229,不力,39
230,单独,39
231,肯定,39
232,延长,39
233,阿萨,39
234,云警,39
235,上将,39
236,商贩,39
237,川崎,38
238,家长,38
239,...,38
240,妻子,38
241,丈夫,38
242,密切接触,38
243,医院,38
244,就诊,38
245,观察,38
246,谎言,38
247,声援,38
248,政客,38
249,声音,38
250,科学,38
251,拘留所,38
252,尽量,38
253,拘留,38
254,一旦,38
255,大规模,38
256,流行,38
257,应该,38
258,自己,38
259,CGTN,38
260,居家,38
261,登记,38
262,精油,38
263,今天,38
264,相反,38
265,怎么,38
266,是否,38
267,那样,38
268,影响,38
269,或许,38
270,大多数,38
271,整体,38
272,下文,38
273,简称,38
274,政治,38
275,假设,38
276,抽查,38
277,抽到,38
278,差不多,38
279,忽略,38
280,程度,38
281,300,38
282,具体,38
283,明显,38
284,神药,38
285,治愈,38
286,死亡率,38
287,也就是说,38
288,两天,38
289,痊愈,38
290,有用,38
291,必须,38
292,本来,38
293,意思,38
294,一本,38
295,一种,38
296,配方,38
297,别的,38
298,能够,38
299,讨论,38
300,什么,38
301,8%,38
302,达到,38
303,不出,38
304,一样,38
305,一部分,38
306,回头,38
307,分成,38
308,歧视,38
309,一下,38
310,75%,38
311,50%,38
312,下面,38
313,分类,38
314,比例,38
315,申请人,38
316,录取,38
317,相当于,38
318,考试成绩,38
319,大部分,38
320,乙班,38
321,著名,38
322,形象,38
323,老顽固,38
324,一组,38
325,方法,38
326,出来,38
327,最大,38
328,糖尿病,38
329,高血压,38
330,热度,38
331,很长,38
332,下来,38
333,辛苦,38
334,同时,37
335,应对,37
336,战疫,37
337,特别,37
338,直播,37
339,报道,36
340,公民,36
341,输入,36
342,新加坡籍,36
343,有关,36
344,死亡,36
345,接连,36
346,上班,36
347,吉林,35
348,本地,35
349,分区,35
350,分级,35
351,管控,35
352,高风险,35
353,实行,35
354,12,35
355,管理,35
356,所有,34
357,已经,34
358,新闻,34
359,英国,34
360,解封,34
361,路线图,34
362,巴西,34
